yr,sp,ev,trt,type,blk,sam,%pred
2,W,2,MP,c,3,3,2
2,W,2,MP,c,4,1,50
2,W,2,MP,c,4,2,20
2,W,2,MP,c,4,3,16
2,W,2,MP,s,1,1,6
2,W,2,MP,s,1,2,0
2,W,2,MP,s,1,3,10
2,W,2,MP,s,2,1,2
2,W,2,MP,s,2,2,6
2,W,2,MP,s,2,3,0
2,W,2,MP,s,3,1,2
2,W,2,MP,s,3,2,2
2,W,2,MP,s,3,3,0
2,W,2,MP,s,4,1,4
2,W,2,MP,s,4,2,6
2,W,2,MP,s,4,3,8
2,W,2,MP,w,1,1,16
2,W,2,MP,w,1,2,14
2,W,2,MP,w,1,3,6
2,W,2,MP,w,2,1,42
2,W,2,MP,w,2,2,6
2,W,2,MP,w,2,3,4
2,W,2,MP,w,3,1,6
2,W,2,MP,w,3,2,8
2,W,2,MP,w,3,3,0
2,W,2,MP,w,4,1,34
2,W,2,MP,w,4,2,4
2,W,2,MP,w,4,3,4
2,W,2,NT,c,1,1,2
2,W,2,NT,c,1,2,10
2,W,2,NT,c,1,3,6
2,W,2,NT,c,2,1,56
2,W,2,NT,c,2,2,46
2,W,2,NT,c,2,3,12
2,W,2,NT,c,3,1,28
2,W,2,NT,c,3,2,6
2,W,2,NT,c,3,3,0
2,W,2,NT,c,4,1,6
2,W,2,NT,c,4,2,2
2,W,2,NT,c,4,3,18
2,W,2,NT,s,1,1,14
2,W,2,NT,s,1,2,26
2,W,2,NT,s,1,3,4
2,W,2,NT,s,2,1,2
2,W,2,NT,s,2,2,2
2,W,2,NT,s,2,3,0
2,W,2,NT,s,3,1,0
2,W,2,NT,s,3,2,0
2,W,2,NT,s,3,3,2
2,W,2,NT,s,4,1,2
2,W,2,NT,s,4,2,0
2,W,2,NT,s,4,3,0
2,W,2,NT,w,1,1,6
2,W,2,NT,w,1,2,12
2,W,2,NT,w,1,3,4
2,W,2,NT,w,2,1,34
2,W,2,NT,w,2,2,2
2,W,2,NT,w,2,3,8
2,W,2,NT,w,3,1,10
2,W,2,NT,w,3,2,4
2,W,2,NT,w,3,3,12
2,W,2,NT,w,4,1,2
2,W,2,NT,w,4,2,30
2,W,2,NT,w,4,3,6
2,W,3,CP,c,1,1,18
2,W,3,CP,c,1,2,16
2,W,3,CP,c,1,3,12
2,W,3,CP,c,2,1,12
2,W,3,CP,c,2,2,10
2,W,3,CP,c,2,3,10
2,W,3,CP,c,3,1,6
2,W,3,CP,c,3,2,10
2,W,3,CP,c,3,3,38
2,W,3,CP,c,4,1,2
2,W,3,CP,c,4,2,0
2,W,3,CP,c,4,3,20
2,W,3,CP,s,1,1,6
2,W,3,CP,s,1,2,6
2,W,3,CP,s,1,3,4
